Compound,Similarity,Smiles,,,,Smiles
CHEMBL8087,1, CCCCCCCCCCCCCCCC1=CC=CC(O)=C1O,,,,
CHEMBL8086,1, CCOC(=O)C(C)(C)CCCCCCOC1=CC=C(OCCCCCCC(C)(C)C(=O)OCC)C=C1,,,,
CHEMBL8401,1, COC(=O)C(C)(C)CCCOC1=CC(OCCCC(C)(C)C(=O)OC)=C(C)C=C1,,,,
CHEMBL8196,1, CC(C)(CCCOC1=CC(C(O)=O)=C(OCCCC(C)(C)C(O)=O)C=C1)C(O)=O,,,,
CHEMBL8352,1, COC1=CC(O)=C(OC)C=C1CC(C)N,,,,
CHEMBL8351,1, C[C@H](NC(=O)C(C)OC1C(NC(C)=O)C(O)OC1C(COC(C)=O)OC(C)=O)C(=O)NC(CCC(O)=O)C(N)=O,,,,
CHEMBL4553621,1, NCC1=CC(OCC#N)=CC=C1,,,,
CHEMBL3309332,1, CC(C)CCNC(=O)C1=C(NCCC(C)C)N=CC=C1,,,,
CHEMBL8061,1, COC(=O)C1=C(OCCCC(C)(C)C(=O)OC)C=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL8060,1, COC(=O)C(C)(C)CCCSC1=CC(SCCCC(C)(C)C(=O)OC)=C(Cl)C=C1,,,,
CHEMBL8579,1, CCOC(=O)\\C=C(/C)\\C(\\F)=C\\C=C(/C)\\C=C\\C1=C(Cl)C(C)=C(OC)C=C1Cl,,,,
CHEMBL7730,1, NC(CCC(=O)NC1=CC(O)=CC=C1)C(O)=O,,,,
CHEMBL4553126,1, COCCN1C=C(CNC(=O)NCC(F)F)C=N1,,,,
CHEMBL7705,1, COC(=O)C(C)(C)CCCOC1=CC(OC)=C(OCCCC(C)(C)C(=O)OC)C=C1OC,,,,
CHEMBL8214,1, CCCCC1=CC(OC)=C(CC(C)N)C=C1OC,,,,
CHEMBL7920,1, CC(C)(OC1=CC(OC(C)(C)C(O)=O)=CC=C1)C(O)=O,,,,
CHEMBL7901,1, CCCCCCCCCCCCCCCCCC(=O)OCC1OC(O)C(NC(C)=O)C(O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(O)=O)C(N)=O)C1O,,,,
CHEMBL8127,1, CC(C)(CCOC1=CC=C(OCCC(C)(C)C(O)=O)C=C1)C(O)=O,,,,
CHEMBL8126,1, CCCCOC(=O)C1=CC(OC)=C(CC(C)N)C=C1OC,,,,
CHEMBL1163196,1, CCCCC1=C(OC)C=C(OC)C(OC)=C1,,,,
CHEMBL7878,1, CC(C)(CCCOC1=CC=C(C=C1)S(=O)CCCC(C)(C)C(O)=O)C(O)=O,,,,
CHEMBL1163189,1, CCCC1=C(O)C=C(OCC(=O)OC)C(OC)=C1,,,,
CHEMBL8123,1, N#CN1CCC1,,,,
CHEMBL7746,1, COC(=O)C(C)(C)CCCOC1=CC(\\C=N\\NC(N)=O)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
CHEMBL7725,1, CC1=C(C=CC(N)=C1)C(=O)OCC(O)CNC(C)(C)C,,,,
CHEMBL4553564,1, CCNC1CCOC(C)(C)C1,,,,
CHEMBL8008,1, COC(=O)C(C)(C)CCCOC1=CC=CC(OCCCC(C)(C)C(=O)OC)=C1N,,,,
CHEMBL7701,1, OC[C@H](O)[C@H]1CC[C@H](CO)O1,,,,
CHEMBL8301,1, COC1=CC(CC(C)N)=C(OC)C=C1[N+]([O-])=O,,,,
CHEMBL7984,1, CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C(C)=C1OCCCC(C)(C)C(O)=O,,,,
CHEMBL7983,1, CCCOC(=O)C1=CC(O)=C(O)C(O)=C1,,,,
CHEMBL3311389,1, CCCCCCCCCCCCNC1=CC=C(O)C(O)=C1,,,,
CHEMBL419,1, NCC1=CC=C(C=C1)S(N)(=O)=O,,,,
CHEMBL7767,1, CC(C)(CCCOC1=CC=C(SCCCC(C)(C)C(O)=O)C=C1)C(O)=O,,,,
CHEMBL4553682,1, CCNC(=O)N1CCNCC1,,,,
CHEMBL1163190,1, COC(=O)COC1=CC=CC=C1C,,,,
CHEMBL8002,1, COC(=O)C(C)(C)CCCOC1=CC(C)=C(OCCCC(C)(C)C(=O)OC)C=C1,,,,
